LocationDesc,YearStart,obesity,overweight,activity_150,activity_150_strength,activity_300,muscle_strengthening,no_leisure_activity,fruit_lt_1_per_day,vegetables_lt_1_per_day
Nevada,2015,26.7,38,54.5,24.9,36.6,34.3,24.7,NA,NA
New Hampshire,2015,26.3,37.3,57.6,23.1,37.3,31.6,22.6,NA,NA
New Jersey,2015,25.6,37.8,48.9,20.8,29.3,31.5,27.2,NA,NA
New Mexico,2015,28.8,35.7,56,23.5,36.4,33.7,22.6,NA,NA
New York,2015,25,34.5,47.1,20,28.5,30.2,29.3,NA,NA
North Carolina,2015,30.1,35.8,48.1,18.9,27.8,29.3,26.2,NA,NA
North Dakota,2015,31,36,47,17.7,27.2,27.6,26.8,NA,NA
Ohio,2015,29.8,36.7,50.2,19.7,32.2,29.5,27,NA,NA
Oklahoma,2015,33.9,35.1,46.6,16.9,28.2,26.2,33.2,NA,NA
Oregon,2015,30.1,34.5,60.4,22.6,39.8,30.4,18.8,NA,NA
Pennsylvania,2015,30,36.2,49.8,19.6,31.1,29.6,27.8,NA,NA
Rhode Island,2015,26,36.7,50.4,20,29.7,28.7,28.1,NA,NA
South Carolina,2015,31.7,34.5,50.5,19.7,31.4,29.4,26.7,NA,NA
South Dakota,2015,30.4,34.1,53.6,19.2,32.5,28.8,21.5,NA,NA
Tennessee,2015,33.8,34.9,45.4,17.8,27.6,27.6,30.4,NA,NA
Texas,2015,32.4,36.3,44.3,18.8,24.9,29.3,29.5,NA,NA
Utah,2015,24.5,35.2,55.3,24.8,33.9,34.8,20.3,NA,NA
Vermont,2015,25.1,34.7,58.9,22.7,39.1,30.5,22.2,NA,NA
Virginia,2015,29.2,34.9,51,22.1,30.6,32.3,25.1,NA,NA
Washington,2015,26.4,36.1,58.4,22.7,37.9,31.8,19,NA,NA
West Virginia,2015,35.6,35.5,48,13.8,32.8,20.9,30.8,NA,NA
Wisconsin,2015,30.7,35.3,56.8,20.1,36.4,28.6,21.6,NA,NA
Wyoming,2015,29,36.4,54.4,23.4,36.2,32.1,26.2,NA,NA
National,2015,28.9,35.7,50.9,20.5,31.3,30.4,25.9,NA,NA
Guam,2015,31.6,35.5,48.9,21.5,31.9,32,31.1,NA,NA
Puerto Rico,2015,29.5,37.5,34.1,8.1,17.2,10.9,48.1,NA,NA
Alabama,2016,35.7,33.9,NA,NA,NA,NA,29.4,NA,NA
Alaska,2016,31.4,35.3,NA,NA,NA,NA,19.1,NA,NA
Arizona,2016,29,34.2,NA,NA,NA,NA,23.1,NA,NA
Arkansas,2016,35.7,32.5,NA,NA,NA,NA,32.5,NA,NA
California,2016,25,36,NA,NA,NA,NA,20.5,NA,NA
Colorado,2016,22.3,35.8,NA,NA,NA,NA,15.8,NA,NA
Connecticut,2016,26,35.9,NA,NA,NA,NA,21.3,NA,NA
Delaware,2016,30.7,37.3,NA,NA,NA,NA,26.6,NA,NA
District of Columbia,2016,22.6,30.8,NA,NA,NA,NA,16.2,NA,NA
Florida,2016,27.4,35.8,NA,NA,NA,NA,29.8,NA,NA
Georgia,2016,31.4,34.4,NA,NA,NA,NA,29.4,NA,NA
Hawaii,2016,23.8,33.8,NA,NA,NA,NA,20.8,NA,NA
Idaho,2016,27.4,37.1,NA,NA,NA,NA,20.2,NA,NA
Illinois,2016,31.6,33.4,NA,NA,NA,NA,23.9,NA,NA
Indiana,2016,32.5,34.7,NA,NA,NA,NA,26.8,NA,NA
Iowa,2016,32,36.7,NA,NA,NA,NA,22.7,NA,NA
Kansas,2016,31.2,35.6,NA,NA,NA,NA,23.5,NA,NA
Kentucky,2016,34.2,34.9,NA,NA,NA,NA,29.8,NA,NA
Louisiana,2016,35.5,33.7,NA,NA,NA,NA,29.1,NA,NA
Maine,2016,29.9,35.3,NA,NA,NA,NA,20.6,NA,NA
Maryland,2016,29.9,34.7,NA,NA,NA,NA,23.1,NA,NA
Massachusetts,2016,23.6,36.7,NA,NA,NA,NA,20,NA,NA
Michigan,2016,32.5,35,NA,NA,NA,NA,23.9,NA,NA
Minnesota,2016,27.8,37,NA,NA,NA,NA,18,NA,NA
Mississippi,2016,37.3,34,NA,NA,NA,NA,30.3,NA,NA
Missouri,2016,31.7,35.6,NA,NA,NA,NA,24.9,NA,NA
Montana,2016,25.5,37.3,NA,NA,NA,NA,19.9,NA,NA
Nebraska,2016,32,36.6,NA,NA,NA,NA,22.4,NA,NA
Nevada,2016,25.8,36.5,NA,NA,NA,NA,24.7,NA,NA
